Produto,Preço,Fornecedor,Data
Apple iPhone 16 128GB - Preto,5399.0,Ponto Frio,2025-05-19
Apple iPhone 16 256GB - Preto,5998.0,Ponto Frio,2025-05-19
Apple iPhone 16 128GB - Ultramarino,5399.0,Ponto Frio,2025-05-19
Apple iPhone 16 128GB - Branco,5399.0,Ponto Frio,2025-05-19
"iPhone 16 Apple Rosa, 128GB",6781.81,Ponto Frio,2025-05-19
Apple iPhone 16 Pro 128GB - Titânio Natural,7539.0,Ponto Frio,2025-05-19
Apple iPhone 16e de 128GB - Branco,3978.0,Ponto Frio,2025-05-19
Apple iPhone 16 256GB - Branco,5998.0,Ponto Frio,2025-05-19
"iPhone 16 Apple (128GB) Preto, Tela de 6,1"", 5G e Câmera de 48MP",6818.25,Ponto Frio,2025-05-19
Apple iPhone 16 Pro 128GB - Titânio-deserto,7539.0,Ponto Frio,2025-05-19
Apple iPhone 16 Pro Max 256GB - Titânio-deserto,9199.0,Ponto Frio,2025-05-19
Apple iPhone 16 Plus 128GB - Preto,7296.0,Ponto Frio,2025-05-19
Apple iPhone 16 256GB Preto,6699.0,Ponto Frio,2025-05-19
Apple iPhone 16 128GB Branco,9202.82,Ponto Frio,2025-05-19
Apple iPhone 16 128GB Rosa,9202.82,Ponto Frio,2025-05-19
Apple iPhone 16 Pro Max 256GB - Titânio Branco,9199.0,Ponto Frio,2025-05-19
Apple iPhone 16 256GB - Verde-acinzentado,5998.0,Ponto Frio,2025-05-19
Apple iPhone 16 512GB - Preto,7599.0,Ponto Frio,2025-05-19
Apple iPhone 16 128GB Preto,9202.82,Ponto Frio,2025-05-19
Apple iPhone 16 512GB - Branco,7599.0,Ponto Frio,2025-05-19
