Produto,Preço,Fornecedor,Data
Apple iPhone 16 Plus 256GB Branco,11534.88,Magazine Luiza,2025-05-14
Apple iPhone 16 Pro 512GB Titânio Natural,12599.0,Magazine Luiza,2025-05-14
Apple iPhone 16 Plus 256GB Ultramarino,10299.0,Magazine Luiza,2025-05-14
Apple iPhone 16 Plus 128GB Rosa,9309.05,Magazine Luiza,2025-05-14
Apple iPhone 16 Plus 512GB Verde-Acinzentado,13214.88,Magazine Luiza,2025-05-14
"Apple iPhone 16 Pro 128GB Titânio Preto 6,3"" 48MP iOS 5G",8549.1,Magazine Luiza,2025-05-15
"Apple iPhone 16 128GB Rosa 6,1"" 48MP iOS 5G",5309.1,Magazine Luiza,2025-05-15
"Apple iPhone 16e 128GB Branco 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",10118.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",8578.91,Magazine Luiza,2025-05-15
"iPhone 16e Apple (256GB) Preto, Tela de 6,1"", 5G e Câmera de 48 MP",5475.94,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio-Deserto",10228.9,Magazine Luiza,2025-05-15
Apple iPhone 16 Pro Max 1TB Titânio preto,16490.94,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Branco",11218.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",11218.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",8468.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",8468.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",9018.9,Magazine Luiza,2025-05-15
Apple iPhone 16 512GB Ultramarino,8999.0,Magazine Luiza,2025-05-15
