Produto,Preço,Fornecedor,Data
Apple iPhone 16 Plus 512GB - Ultramarino,8499.0,Ponto Frio,2025-05-26
Apple iPhone 16 Pro 1TB - Titânio-deserto,10999.0,Ponto Frio,2025-05-26
Apple iPhone 16 128GB - Ultramarino,5299.0,Ponto Frio,2025-05-26
Apple iPhone 16e de 128GB - Branco,3978.0,Ponto Frio,2025-05-26
Apple iPhone 16 Pro Max 256GB - Titânio-deserto,6781.9,Ponto Frio,2025-05-26
"iPhone 16 Apple Rosa, 128GB",7366.0,Ponto Frio,2025-05-26
Apple iPhone 16 Plus 128GB - Preto,9202.82,Ponto Frio,2025-05-26
Apple iPhone 16 128GB Rosa,6660.83,Ponto Frio,2025-05-26
"iPhone 16 Apple (128GB) Preto, Tela de 6,1"", 5G e Câmera de 48MP",7376.9,Ponto Frio,2025-05-26
"iPhone 16 Apple Ultramarino, 256GB",9202.82,Ponto Frio,2025-05-26
Apple iPhone 16 128GB Branco,6699.0,Ponto Frio,2025-05-26
Apple iPhone 16 256GB Preto,6745.75,Ponto Frio,2025-05-26
"iPhone 16 Apple (128GB) Ultramarino, Tela de 6,1"", 5G e Câmera de 48MP",6781.9,Ponto Frio,2025-05-26
"IPhone 16 Apple Verde-Acinzentado, 128GB",6999.0,Ponto Frio,2025-05-26
Apple iPhone 16 512GB - Preto,6999.0,Ponto Frio,2025-05-26
Apple iPhone 16 512GB - Verde-acinzentado,10999.0,Ponto Frio,2025-05-26
Apple iPhone 16 Pro 1TB - Titânio Natural,8499.0,Ponto Frio,2025-05-26
Apple iPhone 16 Plus 512GB - Rosa,6999.0,Ponto Frio,2025-05-26
Apple iPhone 16 512GB - Branco,9202.82,Ponto Frio,2025-05-26
Apple iPhone 16 Pro Max 256GB - Titânio Preto,3978.0,Ponto Frio,2025-05-26
Apple iPhone 16 128GB Preto,10199.0,Ponto Frio,2025-05-26
Apple iPhone 16e de 128GB - Preto,7799.0,Ponto Frio,2025-05-26
