Produto,Preço,Fornecedor,Data
Apple iPhone 16 Pro Max 256GB Titânio Natural,11369.0,Americanas,2025-05-19
Apple iPhone 16 128GB Ultramarino,6279.0,Americanas,2025-05-19
Apple iPhone 16 Pro Max 512GB Titânio natural,12749.0,Americanas,2025-05-19
Apple iPhone 16 Pro Max 256GB Titânio branco,11369.0,Americanas,2025-05-19
"IPhone 16 Pro Max Apple (256GB) Titânio Deserto, Tela de 6,9, 5G e Câmera de 48MP",11597.42,Americanas,2025-05-19
Apple iPhone 16 Plus 128GB Ultramarino,8719.0,Americanas,2025-05-19
"IPhone 16 Apple (128GB) Rosa, Tela de 6,1, 5G e Câmera de 48MP",6583.92,Americanas,2025-05-19
"IPhone 16 Pro Max Apple (256GB) Titânio Preto, Tela de 6,9, 5G e Câmera de 48MP",11568.44,Americanas,2025-05-19
Apple iPhone 16 Pro Max 256GB Titânio Deserto,11369.0,Americanas,2025-05-19
Apple iPhone 16 Pro Max 512GB Titânio branco,12749.0,Americanas,2025-05-19
Apple iPhone 16 Pro Max 512GB Titânio preto,12749.0,Americanas,2025-05-19
Apple iPhone 16 Plus 256GB Ultramarino,9359.0,Americanas,2025-05-19
Apple iPhone 16 Pro Max 256GB Titânio preto,11369.0,Americanas,2025-05-19
Apple iPhone 16 Plus 128GB Preto,8719.0,Americanas,2025-05-19
"IPhone 16 Apple (128GB) Preto, Tela de 6,1, 5G e Câmera de 48MP",6584.03,Americanas,2025-05-19
Apple iPhone 16 Pro 128GB Titânio Deserto,9569.0,Americanas,2025-05-19
Apple iPhone 16 Plus 128GB Rosa,10258.92,Americanas,2025-05-19
Apple iPhone 16 Pro 256GB Titânio Preto,10309.0,Americanas,2025-05-19
Usado: iPhone 11 128GB Preto Bom - Trocafone,1781.1,Americanas,2025-05-19
iPhone 13 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera Dupla 12MP - Meia-Noite,5149.0,Americanas,2025-05-19
Usado: iPhone 12 128GB Preto Bom - Trocafone,2285.1,Americanas,2025-05-19
Usado: iPhone 12 64GB Preto Muito Bom - Trocafone,2123.1,Americanas,2025-05-19
iPhone 13 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera Dupla 12MP - Estelar,4259.0,Americanas,2025-05-19
"Apple iPhone 14 128GB iOS 5G Wi-Fi Tela 6.1"" Câmera Dupla 12MP - Meia Noite",5146.94,Americanas,2025-05-19
Caixa de Bombom Garoto 250g,13.99,Americanas,2025-05-19
"Chocolate Kit Kat ao Leite Nestlé - 41,5g",3.99,Americanas,2025-05-19
Caixa Bombom Especialidades Nestlé 251g,14.99,Americanas,2025-05-19
Barra de Chocolate Branco Lacta com Recheio Ouro Branco 98g,7.99,Americanas,2025-05-19
Barra de Chocolate Alpino  Nestlé - 85g,7.99,Americanas,2025-05-19
Barra de Chocolate ao Leite Lacta com Recheio Sonho de Valsa 98g,7.99,Americanas,2025-05-19
Barra de Chocolate Lacta ao Leite 80g,7.99,Americanas,2025-05-19
Barra de Chocolate ao Leite Diamante Negro 80g,7.99,Americanas,2025-05-19
Barra de Chocolate Branco Laka Oreo 80g,7.99,Americanas,2025-05-19
Barra de Chocolate Branco Laka 80g,7.99,Americanas,2025-05-19
Ovo de Páscoa Playstation Chocolate ao Leite 90g - Topcau,64.99,Americanas,2025-05-19
Ovo de Páscoa Manchester City Chocolate ao Leite Topcau 120g Vem com uma Bola Exclusiva,159.99,Americanas,2025-05-19
Ovo de Páscoa LOL OMG Chocolate ao Leite 80g - Topcau,25.99,Americanas,2025-05-19
Ovo de Páscoa Chocolate ao Leite Bluey 80g - Topcau,25.99,Americanas,2025-05-19
Ovo de Páscoa Ben 10 Chocolate ao Leite 80g - Topcau,25.99,Americanas,2025-05-19
Ovo de Páscoa LOL Chocolate ao Leite 90g - Delice,64.99,Americanas,2025-05-19
Ovo de Páscoa Flamengo Chocolate ao Leite Topcau 120g Vem com uma Bola Exclusiva,159.99,Americanas,2025-05-19
Ovo de Páscoa Chocolate ao Leite Ben 10 90g - Topcau,64.99,Americanas,2025-05-19
Ovo de Páscoa Crocante Chocolate ao Leite 120g - Topcau,32.99,Americanas,2025-05-19
Ovo de Páscoa Bluey Chocolate ao Leite 90g - Topcau,64.99,Americanas,2025-05-19
Chocolate Bis Lacta Xtra 45g,3.99,Americanas,2025-05-19
Barra de Chocolate ao Leite com Caramelo Dourado Milka 100g,18.99,Americanas,2025-05-19
"Bis Chocolate ao Leite 100,8g",7.99,Americanas,2025-05-19
Mucilon Meu Primeiro Lanchinho Nestlé Sabor Milho 35g,6.51,Americanas,2025-05-19
Composto lácteo neslac comfor zero lactose 700G,72.99,Americanas,2025-05-19
Mucilon snack morango E banan 35G nestle,5.49,Americanas,2025-05-19
Biscoito Oreo Recheado Baunilha 36g,2.79,Americanas,2025-05-19
"Chocolate Bis Lacta 100,8 Laka",7.49,Americanas,2025-05-19
Mochaccino em Cápsula Dolce Gusto Canela Nescafé 172g 10 Unidades,29.99,Americanas,2025-05-19
Biscoito Recheado Mini Oreo Original 35g,3.49,Americanas,2025-05-19
