Produto,Preço,Fornecedor,Data
Apple iPhone 16 Pro 1TB Titânio Natural,13579.03,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro 256GB Titânio Natural,10999.0,Magazine Luiza,2025-05-19
"iPhone 16e Apple (512GB) Branco, Tela de 6,1"", 5G e Câmera de 48 MP",7430.16,Magazine Luiza,2025-05-19
Apple iPhone 14 512GB Azul,7699.0,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",10008.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",8358.89,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio-Deserto",10118.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Branco",7698.91,Magazine Luiza,2025-05-19
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",9128.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",6818.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Verde-acinzentado",6818.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Natural",10118.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",10118.9,Magazine Luiza,2025-05-19
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Rosa",8358.84,Magazine Luiza,2025-05-19
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",7478.89,Magazine Luiza,2025-05-19
